TCA, EAV , Rate ,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01001," 116,580,506 ", 11.756989 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01002," 3,273,232 ", 12.159200 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01003," 4,783,173 ", 10.615769 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01004," 11,802 ", 14.292067 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,
01005," 662,421 ", 11.017980 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01006," 13,975 ", 14.387901 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01007," 33,310 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01008, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01009, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01010," 8,675,281 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01011, -   , 10.617931 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01012," 9,843,215 ", 12.002145 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01013, -   , 14.038640 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01014," 18,991,167 ", 11.179519 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,,,U01060,M52WAK,,,P20WAK,S05NSH,,,PORWAK,,,,,,,,,,,,
01015," 2,124,759 ", 13.246681 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01016, -   , 13.089626 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F23WHA,L15ZBE,,,,,,,,,,,,,B12126,,,,
01017," 973,367 ", 13.881585 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,
01018, -   , 11.022464 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,,,U01060,M52WAK,,,P20WAK,,,,,,,,,,,,,,,,
01019, -   , 13.003687 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01020, -   , 11.179519 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,,,U01060,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,,,,,
01021," 41,726 ", 11.906311 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01022, -   , 11.663317 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01023, -   , 13.005322 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,,,,,,,,,,,,B06003,B12126,,,
01024, -   , 12.860330 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01025, -   , 10.774986 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01026, -   , 13.162377 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01027, -   , 14.038640 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01028," 24,622 ", 13.162377 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01029, -   , 12.691207 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01030, -   , 12.534152 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,
01031, -   , 12.691207 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01032, -   , 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01033," 16,645,880 ", 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01034," 7,192,243 ", 11.657889 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01035, -   , 11.814944 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,(From BP San)
01036," 6,469,942 ", 10.860925 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01037, -   , 10.617931 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01038, -   , 12.860330 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01039, -   , 10.774986 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01040, -   , 12.691207 ,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
