TCA, Agg Ext ,Agg Rate,CTY,FOR,TWP,RBT,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN1,SAN2,MSQ,POR,WTR,TIF,TIF,SSA1,SSA2,SSA3,SSA4,SP1,SP2,SP3,SP4,Other
01001,"131,370,369",10.943906,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01002,"3,618,974",11.220723,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01003,"5,330,830",9.843485,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E01001,H08126,,,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01004,"12,690",12.325116,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F23WHA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B12126,,,,
01005,"737,571",10.120302,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01006,"15,026",12.466846,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,M54WHA,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01007,"148,772",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01008,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01009,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01010,"9,941,224",9.960583,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01011,,9.729603,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01012,"10,698,343",11.061004,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M54WHA,,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01013,,12.801251,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01014,"21,599,432",9.659436,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,,,U01060,M52WAK,,,P20WAK,S05NSH,,,PORWAK,,,,,,,,,,,,
01015,"2,442,914",11.366425,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F23WHA,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01016,,11.206706,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,F23WHA,L15ZBE,,,,,,,,,,,,,B12126,,,,
01017,"1,074,074",12.641532,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,
01018,,9.499717,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,,,U01060,M52WAK,,,P20WAK,,,,,,,,,,,,,,,,
01019, -   ,11.135445,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E04006,H08126,,,,L15ZBE,,S05NSH,,,,,,,,,,,B12126,,,,
01020,,9.659436,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,,,U01060,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,,,,,
01021,"47,879",10.919274,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F23WHA,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01022,,10.688294,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,L15ZBE,P23ZIO,,,,,,,,,,,,B06003,B12126,,,
01023,,11.818118,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,,,,,,,,,,,,B06003,B12126,,,
01024,,11.770635,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P23ZIO,S05NSH,,,,,,,,,,,B06003,B12126,,,
01025,,9.889322,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01026,,11.977837,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01027,"1,562",12.801251,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01028,"26,475",11.977837,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M52WAK,,,,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01029,,11.635358,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,S05NSH,,,,,,,,,,,B06003,B12126,,,
01030, -   ,11.475639,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,,,,PORWAK,,,,,,,,B06003,B12126,,,
01031, -   ,11.635358,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,P20WAK,S05NSH,,,PORWAK,,,,,,,,B06003,B12126,,,
01032,,10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01033,"19,754,726",10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,
01034,"8,166,131",10.652225,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,,,,,,,,,,,,B06003,B12126,,,
01035,,10.811944,CTYLAK,FORLAK,T01BEN,R01BEN,C03532,E03003,H08126,,M06BPA,F05BPA,L15ZBE,,S05NSH,,,,,,,,,,,B06003,B12126,,,(From BP San)
