Taxyr,Auth,Name,Rate,Class,EAV
2023,110SSA,BARRINGTON SSA #1,0.1,COM,5000693
2023,110SSA,BARRINGTON SSA #1,0.1,RES,310767
2023,112SSA,BARRINGTON SSA #3,0.210762,RES,15562986
2023,149SSA,LAKE COUNTY SSA #8,0.075685,COM,5266475
2023,149SSA,LAKE COUNTY SSA #8,0.075685,FA,428005
2023,149SSA,LAKE COUNTY SSA #8,0.075685,FB,170237
2023,149SSA,LAKE COUNTY SSA #8,0.075685,IND,68944
2023,149SSA,LAKE COUNTY SSA #8,0.075685,O,227573
2023,149SSA,LAKE COUNTY SSA #8,0.075685,RES,59775356
2023,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.220287,COM,69043650
2023,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.220287,FA,1371116
2023,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.220287,FB,187090
2023,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.220287,IND,9721495
2023,154SSA,LAKE COUNTY SPECIAL SERVICE AREA 16,0.220287,RES,808084992
2023,166SSA,FOX RIVER GROVE SSA - GARDNER TERRACE,0.023727,RES,7023044
2023,167SSA,FOX RIVER GROVE SSA - HUNTERS FARM,0.082887,RES,14521428
2023,168SSA,FOX RIVER GROVE SSA - TALON SUB,0.21062,COM,2290860
2023,180SSA,HAWTHORN WOODS SSA #1,0.000072,COM,475684
2023,180SSA,HAWTHORN WOODS SSA #1,0.000072,RES,131602140
2023,181SSA,HAWTHORN WOODS SSA #2,0.000049,COM,6349942
2023,181SSA,HAWTHORN WOODS SSA #2,0.000049,FA,529491
2023,181SSA,HAWTHORN WOODS SSA #2,0.000049,FB,43749
2023,181SSA,HAWTHORN WOODS SSA #2,0.000049,IND,160411
2023,181SSA,HAWTHORN WOODS SSA #2,0.000049,RES,238569183
2023,182SSA,HAWTHORN WOODS SSA #3,0.000157,FA,536683
2023,182SSA,HAWTHORN WOODS SSA #3,0.000157,FB,17403
2023,182SSA,HAWTHORN WOODS SSA #3,0.000157,RES,124707075
2023,184SSA,HAINESVILLE SSA #1,0.089929,COM,16646
2023,184SSA,HAINESVILLE SSA #1,0.089929,RES,27881194
2023,205SSA,HIGHLAND PARK SSA 17,1.715221,COM,5209644
2023,205SSA,HIGHLAND PARK SSA 17,1.715221,RES,37496
2023,223SSA,LIBERTYVILLE SSA #1,0.15495,RES,13625300
2023,248SSA,LAKE ZURICH SSA #10,0.037253,RES,2682805
2023,253SSA,LAKE ZURICH SSA #16,2.77097,RES,63520
2023,256SSA,LAKE ZURICH SSA #8,0.112443,RES,8960306
2023,257SSA,LAKE ZURICH SSA #9,0.204845,COM,1445725
2023,257SSA,LAKE ZURICH SSA #9,0.204845,RES,4387968
2023,280SSA,METTAWA SSA #7,0.109832,RES,3641927
2023,281SSA,METTAWA SSA #9,0.374528,RES,7749192
2023,282SSA,METTAWA SSA #10,0.331,FA,1057402
2023,283SSA,METTAWA SSA #11,0.378286,FA,1057402
2023,285SSA,METTAWA SSA #14,0.077373,RES,2843374
2023,331SSA,METTAWA SSA #3,0.191395,COM,36469131
2023,332SSA,METTAWA SSA #4,0.137203,COM,8017325
2023,333SSA,METTAWA SSA #5,0.013775,COM,7259885
2023,357SSA,RIVERWOODS SSA #5,0.12471,RES,4811193
2023,370SSA,RIVERWOODS SSA #19,0.78065,RES,7676117
2023,393SSA,VOLO SSA #14,3.028416,COM,3669870
2023,393SSA,VOLO SSA #14,3.028416,FA,219491
2023,393SSA,VOLO SSA #14,3.028416,FB,19524
2023,393SSA,VOLO SSA #14,3.028416,RES,130636
2023,412SSA,HIGHLAND PARK SSA #19,0.097764,COM,112546143
2023,412SSA,HIGHLAND PARK SSA #19,0.097764,IND,1098
2023,412SSA,HIGHLAND PARK SSA #19,0.097764,RES,463748
2023,423SSA,DEER PARK SSA#11,0.484803,COM,6070115
